"Sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Agriculture",6650.2,13280.87,19867.17,26409.7,32993.67,39605.3,46175.08,52653.75,59171.4,65748.6,72331.2,78954.51,85603.46,92234.64,98969.88,105758.38,112597.83,119505.03,126441.79,133364.8,140347.5,147438.61,154548.94,161587.58,168669.18,175834.03,183069.06
"Industry",12.05,23.37,34.6,45.52,57.87,70.15,82.43,95.5,108.67,122.61,142.42,161.9,181.52,201.67,221.86,241.9,262.15,282.97,302.95,321.68,341.13,360.5,379.82,399.14,418.83,438.49,458.38
"Fugitive",4302.47,8472.63,12504.74,16468.8,20295.38,24109.52,27959.09,31826.52,35685.34,39584.94,43581.3,47701.42,51897.8,56273.19,60761.04,65331.43,70077.77,74954.84,80002.68,85047.05,90240.48,95497.82,100787.68,106092.84,111413.01,116738.33,122067.93
"Landuse",983.58,1967.16,2950.74,3934.32,4917.9,5901.48,6614.01,7842.23,8865.76,9656.96,10282.8,10930.05,12070.43,13093.63,14275.31,15302.18,16423.28,17355.33,18206.44,19213.45,20113.87,21024.29,22012.93,22914.71,23939.73,25150.69,26025.02
"Otherfuel",764.15,1540.22,2301.02,3064.51,3816.47,4561.21,5321.75,6080.26,6836.27,7596.77,8347.4,9118.03,9898.39,10694.15,11500.23,12303.23,13118.45,13947.97,14795.63,15655.88,16535.71,17446.31,18400.03,19412.85,20460.37,21545.93,22640.93
"Waste",2730.89,5527.28,8372.87,11271.75,14212.76,17158.12,20099.19,23023.23,25921.1,28805.54,31685.19,34530.06,37356.54,40166.53,42944.04,45692.87,48455.38,51225.07,53995.81,56774.67,59566.66,62356.43,65158.46,67968.4,70832.19,73749.85,76695.26
